City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
525,Padang,ID,83.23,overcast clouds,-0.9492,100.3543,Mercure Padang
535,Bengkulu,ID,76.6,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
539,Akyab,MM,77.56,overcast clouds,20.15,92.9,Hotel Memory
543,Calabozo,VE,78.96,overcast clouds,8.9242,-67.4293,Hotel Giardini
548,Moratuwa,LK,84.2,few clouds,6.773,79.8816,Sa Mansion By Yoho
550,Le Port,RE,84.2,clear sky,-20.9373,55.2919,Villa Maido
552,Kanniyakumari,IN,80.55,clear sky,8.0833,77.5667,Sparsa
557,Voh,NC,82.89,broken clouds,-20.9667,164.7,Le gîte du Koniambo
558,Amboasary,MG,86.0,few clouds,-25.0333,46.3833,DISCOVERY AMBOASARY
560,Gigmoto,PH,78.17,overcast clouds,13.7796,124.39,Cj's Travellers Inn
562,Ilhabela,BR,77.59,overcast clouds,-23.7781,-45.3581,Ilha Flat Hotel
563,Bluefields,NI,75.99,overcast clouds,12.0137,-83.7635,Flamingo Hotel and Casino
565,Giddalur,IN,77.79,few clouds,15.35,78.9167,Shivaji Lodge
566,Nabire,ID,83.28,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
568,Myanaung,MM,83.5,overcast clouds,18.2833,95.3167,Taung Hlay Khar
574,Touros,BR,75.2,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
577,Saint-Georges,GD,78.8,few clouds,12.0564,-61.7485,Siesta Hotel
578,Kailua,US,77.0,broken clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
583,Yanam,IN,77.0,mist,16.7333,82.2167,The Regency Hotel
586,Inhambane,MZ,78.8,few clouds,-23.865,35.3833,Oceano
588,Manokwari,ID,78.82,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
591,Bachaquero,VE,79.72,scattered clouds,9.9694,-71.1494,casa de los dinosaurios
603,Namatanai,PG,84.49,overcast clouds,-3.6667,152.4333,Namatanai Hotel
609,Madang,PG,84.69,moderate rain,-5.2246,145.7966,Comfort Inn Hotel
610,Mudon,MM,86.74,scattered clouds,16.2578,97.7164,Motel Mudon
615,Bartica,GY,77.0,broken clouds,6.4,-58.6167,Relax Inn Hotel
628,San Pedro,PH,86.0,scattered clouds,14.35,121.0167,OYO 412 Viewfort Venue
641,Isabela,PH,87.8,scattered clouds,6.7085,121.9711,Isawad Resort
644,Tambun,ID,86.0,heavy intensity rain,-6.2641,107.0712,@HOM Premiere Tambun
652,Liku,ID,88.05,overcast clouds,-0.7275,119.8922,Agoes Liverpool
653,Quatre Cocos,MU,82.99,broken clouds,-20.2078,57.7625,Emeraude Beach Attitude Hotel
654,Port Blair,IN,83.48,clear sky,11.6667,92.75,Welcomhotel Bay Island Port Blair
662,Kavaratti,IN,81.1,few clouds,10.5669,72.642,Hotels in Lakshadweep Islands
665,Gondanglegi,ID,84.94,overcast clouds,-7.7479,112.0132,Gg. Munasir Homestay
666,Imbituba,BR,78.8,broken clouds,-28.24,-48.6703,Praia Hotel Imbituba
672,Loandjili,CG,79.03,light rain,-4.7561,11.8578,Résidence ARCHANGE
676,Maua,BR,75.99,clear sky,-23.6678,-46.4614,Hotel Capriccio Mauá
677,Ewa Beach,US,77.0,clear sky,21.3156,-158.0072,Base Lodging
684,Gold Coast,AU,84.0,broken clouds,-28.0,153.4333,Mantra Towers of Chevron Surfers Paradise
